在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
20余万军民以盛大的阅兵仪式和群众游行欢庆共和国70华诞。	二十余万军民以盛大的阅兵仪式和群众游行欢庆共和国七十华诞。
本台消息，中华人民共和国中央军事委员会主席习近平10月1日签署通令。	本台消息，中华人民共和国中央军事委员会主席习近平十月一日签署通令。
嘉奖参加庆祝中华人民共和国成立70周年阅兵，全体人员。	嘉奖参加庆祝中华人民共和国成立七十周年阅兵，全体人员。
嘉奖令指出，在伟大的中华人民共和国成立70周年盛大庆典活动中，受阅部队作为共和国武装力量的代表。	嘉奖令指出，在伟大的中华人民共和国成立七十周年盛大庆典活动中，受阅部队作为共和国武装力量的代表。
热烈庆祝中华人民共和国成立70周年。	热烈庆祝中华人民共和国成立七十周年。
许多国家领导人致电或致函国家主席习近平，热烈祝贺中华人民共和国成立70周年。	许多国家领导人致电或致函国家主席习近平，热烈祝贺中华人民共和国成立七十周年。
韩国总统文在银表示，70年来中国在各领域取得了辉煌成就。	韩国总统文在银表示，七十年来中国在各领域取得了辉煌成就。
今天是10月1号星期二，农历9月初三。	今天是十月一号星期二，农历九月初三。
是中华人民共和国70华诞。	是中华人民共和国七十华诞。
习近平在讲话中指出，70年前的今天，毛泽东同志在这里。	习近平在讲话中指出，七十年前的今天，毛泽东同志在这里。
中国人民从此站起来了。这一伟大事件彻底改变了近代以后100多年。	中国人民从此站起来了。这一伟大事件彻底改变了近代以后一百多年。
70年来，全国各族人民。	七十年来，全国各族人民。
庆祝中华人民共和国成立70周年大会在京隆重举行。	庆祝中华人民共和国成立七十周年大会在京隆重举行。
今天是3月15号星期五，农历2月初九，欢迎收看新闻联播节目。	今天是三月十五号星期五，农历二月初九，欢迎收看新闻联播节目。
今年是新中国成立70周年，也是决胜全面建成小康社会的关键之年。	今年是新中国成立七十周年，也是决胜全面建成小康社会的关键之年。
本台消息新华社3月14号播发通讯，上下同心再出发。	本台消息新华社三月十四号播发通讯，上下同心再出发。
习近平总书记同出席2019年全国两会人大代表政协委员共商国事计时。	习近平总书记同出席二零一九年全国两会人大代表政协委员共商国事计时。
全国上下奋力拼搏，推进供给侧结构性改革，中国经济实现6.6%的增速的确来之不易。	全国上下奋力拼搏，推进供给侧结构性改革，中国经济实现百分之六点六的增速的确来之不易。
关于减税降费李克强说，今年大规模减税降费有利于激发1亿多市场主体活力。	关于减税降费李克强说，今年大规模减税降费有利于激发一亿多市场主体活力。
要确保新增城镇就业人数在1100万人以上，在实际工作中力争达到1300万人以上。	要确保新增城镇就业人数在一千一百万人以上，在实际工作中力争达到一千三百万人以上。
今年一是把高血压糖尿病等慢性病的门诊用药纳入医保报销范围，给予50%的报销，这将惠及4亿患者。	今年一是把高血压糖尿病等慢性病的门诊用药纳入医保报销范围，给予百分之五十的报销，这将惠及四亿患者。
持续释放内需潜力等6个领域。报告有2900多名人大代表，2100多名政协委员广泛讨论审议。	持续释放内需潜力等六个领域。报告有两千九百多名人大代表，两千一百多名政协委员广泛讨论审议。
郭伟介绍此次政府工作报告在全国两会期间进行了83处修改。	郭伟介绍此次政府工作报告在全国两会期间进行了八十三处修改。
新加坡等7国与阿拉伯国家联盟驻华使节和外交官在新疆、乌鲁木齐、喀什等地进行参观访问。	新加坡等七国与阿拉伯国家联盟驻华使节和外交官在新疆、乌鲁木齐、喀什等地进行参观访问。
44.3%，174.8%，39.9%和113.3%。	百分之四十四点三，百分之一百七十四点八，百分之三十九点九和百分之一百一十三点三。
去年底全国涉农贷款余额32.68万亿元，同比增长5.58%。	去年底全国涉农贷款余额三十二点六八万亿元，同比增长百分之五点五八。
民航局将督促相关单位在7个工作日内联系旅客，并在规定时间内给出处理意见。	民航局将督促相关单位在七个工作日内联系旅客，并在规定时间内给出处理意见。
比去年提前了10多天。	比去年提前了十多天。
至少推迟到6月底。欧盟方面此前曾表示对英国推迟脱欧持开放态度，但需说明推迟的目的和意义。	至少推迟到六月底。欧盟方面此前曾表示对英国推迟脱欧持开放态度，但需说明推迟的目的和意义。
在5个月内连续发生两次空难后，目前波音公司已暂停向客户交付t37-8及t37-9新飞机。	在五个月内连续发生两次空难后，目前波音公司已暂停向客户交付t三七-八及t三七-九新飞机。
王岐山和大会主席团成员在主席台就座，会议应出席代表2974人。	王岐山和大会主席团成员在主席台就座，会议应出席代表二千九百七十四人。
出席2948人，缺席26人，出席人数符合法定人数。上午9:00。	出席二千九百四十八人，缺席二十六人，出席人数符合法定人数。上午九点。
决议指出，会议充分肯定国务院过去一年的工作，同意报告提出的2019年经济社会发展总体要求政策取向。	决议指出，会议充分肯定国务院过去一年的工作，同意报告提出的二零一九年经济社会发展总体要求政策取向。
关于2018年国民经济和社会发展计划执行情况，与2019年国民经济和社会发展计划的决议。	关于二零一八年国民经济和社会发展计划执行情况，与二零一九年国民经济和社会发展计划的决议。
各国驻华使节旁听了大会。9:29，栗战书宣布。	各国驻华使节旁听了大会。九点二十九分，栗战书宣布。
本台消息，国家主席习近平15号在京签署第26号主席令，第26号主席令说。	本台消息，国家主席习近平十五号在京签署第二十六号主席令，第二十六号主席令说。
于2019年3月15日通过县域公布，自2020年1月1日起施行。	于二零一九年三月十五日通过县域公布，自二零二零年一月一日起施行。
为实现两个100年奋斗目标，实现中华民族伟大复兴的中国梦提供强大精神力量和舆论支持。	为实现两个一百年奋斗目标，实现中华民族伟大复兴的中国梦提供强大精神力量和舆论支持。
第26次全国高校党的建设工作会议15号在京召开。	第二十六次全国高校党的建设工作会议十五号在京召开。
第26次全国高校党的建设工作会议在京召开，王沪宁出席并讲话。	第二十六次全国高校党的建设工作会议在京召开，王沪宁出席并讲话。
全面深化改革。5年多来，一带一路从倡议变为现实，五通建设进展顺利。	全面深化改革。五年多来，一带一路从倡议变为现实，五通建设进展顺利。
文章强调，全党要认真贯彻落实习近平总书记提出的6项任务。	文章强调，全党要认真贯彻落实习近平总书记提出的六项任务。
5年多来五通建设进展顺利，一带一路从倡议变为现实。	五年多来五通建设进展顺利，一带一路从倡议变为现实。
郑州至卢森堡货运航线开辟的空中新丝路，已经从2014年的每周两班加密到现在的18班。	郑州至卢森堡货运航线开辟的空中新丝路，已经从二零一四年的每周两班加密到现在的十八班。
开通一年多来以通达全球6大洲的60个国家和地区的116个港口。	开通一年多来以通达全球六大洲的六十个国家和地区的一百一十六个港口。
与这条大通道紧密对接的中欧班列2018年共开行6300多列，同比增长72%。	与这条大通道紧密对接的中欧班列二零一八年共开行六三零零多列，同比增长百分之七十二。
实现了丝绸之路经济带和21世纪海上丝绸之路的无缝衔接。	实现了丝绸之路经济带和二十一世纪海上丝绸之路的无缝衔接。
其中返程班列2690列，同比增长111%。	其中返程班列两千六百九十列，同比增长百分之一百一十一。
"贸易总额由10,405亿美元增至10,912亿美元，年均增长1.2%。"	"贸易总额由十,四百零五亿美元增至十,九百一十二亿美元，年均增长百分之一点二。"
截至2018年底，我国已与122个国家和29个国际组织签署了一带一路建设合作协议。	截至二零一八年底，我国已与一百二十二个国家和二十九个国际组织签署了一带一路建设合作协议。
覆盖国内59个城市，欧洲15个国家，49个城市。	覆盖国内五十九个城市，欧洲十五个国家，四十九个城市。
改革开放40年先锋人物，今天带您认识为中国电影事业发展作出卓越贡献的电影艺术家谢晋。	改革开放四十年先锋人物，今天带您认识为中国电影事业发展作出卓越贡献的电影艺术家谢晋。
10年的努力打拼。2008年3月5号，胡晓燕作为首批农民工，全国人大代表。	十年的努力打拼。二零零八年三月五号，胡晓燕作为首批农民工，全国人大代表。
2012年胡晓燕通过公务员考试成为佛山三水区总工会的一名公职人员。	二零一二年胡晓燕通过公务员考试成为佛山三水区总工会的一名公职人员。
2008年10月17号谢晋于浙江上虞逝世。	二零零八年十月十七号谢晋于浙江上虞逝世。
朱锡昂1887年出生于广西玉林市博白县，1907年考入广东高等工业学堂。	朱锡昂一八八七年出生于广西玉林市博白县，一九零七年考入广东高等工业学堂。
1925年在日本留学期间加入中国共产党。	一九二五年在日本留学期间加入中国共产党。
此后辗转全国各地从事党的活动，1927年参加了广州起义。	此后辗转全国各地从事党的活动，一九二七年参加了广州起义。
1926年他建立了中共玉林地方组织的第一个支部，中共玉林县支部任支部书记。	一九二六年他建立了中共玉林地方组织的第一个支部，中共玉林县支部任支部书记。
1929年6月初朱锡昂不幸被捕。	一九二九年六月初朱锡昂不幸被捕。
1928年朱锡昂回到广西恢复和发展基层党组织领导广西的革命运动。	一九二八年朱锡昂回到广西恢复和发展基层党组织领导广西的革命运动。
中国人民银行今天发布2018年12月末广义货币增长8.1%，与上年同期持平。	中国人民银行今天发布二零一八年十二月末广义货币增长百分之八点一，与上年同期持平。
1929年6月8日朱锡昂被秘密枪杀，10年42岁。	一九二九年六月八日朱锡昂被秘密枪杀，十年四十二岁。
从结构看，2018年对实体经济发放的人民币贷款占同期社会融资规模的81.4%。	从结构看，二零一八年对实体经济发放的人民币贷款占同期社会融资规模的百分之八十一点四。
同比高19.6个百分点。	同比高十九点六个百分点。
14号英国首相特雷莎梅呼吁，议会下院通过脱欧协议草案。	十四号英国首相特雷莎梅呼吁，议会下院通过脱欧协议草案。
抓获犯罪嫌疑人36人，冻结涉案赃款273万元。	抓获犯罪嫌疑人三十六人，冻结涉案赃款两百七十三万元。
我们党要团结带领人民实现两个100年奋斗目标。	我们党要团结带领人民实现两个一百年奋斗目标。
和李家沟煤矿矿长胡某某等6名相关责任人刑事拘留，并冻结企业银行账户。	和李家沟煤矿矿长胡某某等六名相关责任人刑事拘留，并冻结企业银行账户。
2018年社会融资规模增量累计为19.26万亿元。	二零一八年社会融资规模增量累计为十九点二六万亿元。
近期一份民调结果显示，只有18%的英国人认可英国政府目前这份脱欧协议草案。	近期一份民调结果显示，只有百分之十八的英国人认可英国政府目前这份脱欧协议草案。
伊朗媒体14号援引伊朗军方的声明报道说。	伊朗媒体十四号援引伊朗军方的声明报道说。
当天在伊朗首都德黑兰附近机场失事的波音707货机的黑匣子已经找到。	当天在伊朗首都德黑兰附近机场失事的波音百零七货机的黑匣子已经找到。
机上16名机组成员全部是伊朗人。	机上十六名机组成员全部是伊朗人。
14号美国联邦政府部分机构停摆进入第24天。	十四号美国联邦政府部分机构停摆进入第二十四天。
国际奥委会委员迪亚克的儿子总计约280万新加坡元，约合人民币1399万元。	国际奥委会委员迪亚克的儿子总计约两百八十万新加坡元，约合人民币一千三百九十九万元。
法国司法部门11号证实已对此事展开调查。	法国司法部门十一号证实已对此事展开调查。
今天是2019年1月15号星期二，农历12月初十，欢迎收看新闻联播节目。	今天是二零一九年一月十五号星期二，农历十二月初十，欢迎收看新闻联播节目。
2014年1月习近平总书记在中央政法工作会议上强调。	二零一四年一月习近平总书记在中央政法工作会议上强调。
这是2018年岁末被中国国家博物馆永久收藏的一张年度照片。	这是二零一八年岁末被中国国家博物馆永久收藏的一张年度照片。
拍摄的时间是2018年5月31日。	拍摄的时间是二零一八年五月三十一日。
多年来，南京市一家企业先后将2600多吨工业废酸偷排到这里，造成严重污染。	多年来，南京市一家企业先后将二千六百多吨工业废酸偷排到这里，造成严重污染。
5年来司法机关刀刃向内，全力推进司法体制改革，建立起来维护公平正义的四梁八柱。	五年来司法机关刀刃向内，全力推进司法体制改革，建立起来维护公平正义的四梁八柱。
法院最终作出判决，对该公司处罚金2000万元，赔偿环境修复费用2428.29万元。	法院最终作出判决，对该公司处罚金两千万元，赔偿环境修复费用两千四百二十八点二九万元。
"99,441件，挽回直接经济损失239亿多元。"	九万九千四百四十一件，挽回直接经济损失两百三十九亿多元。
2017年5月19号。	二零一七年五月十九号。
习近平总书记在会见全国公安系统英雄模范立功集体时，对公安工作提出了16字总要求。	习近平总书记在会见全国公安系统英雄模范立功集体时，对公安工作提出了十六字总要求。
这16个字也成了新时代人民公安建警治警的总纲领。	这十六个字也成了新时代人民公安建警治警的总纲领。
2018年上海市建成的2700多个智能安防小区，实现了可防性案件全年零发案。	二零一八年上海市建成的两千七百多个智能安防小区，实现了可防性案件全年零发案。
国务院总理李克强15号在人民大会堂会见芬兰总统尼尼斯托。	国务院总理李克强十五号在人民大会堂会见芬兰总统尼尼斯托。
1月15号，全国人大常委会委员长栗战书在人民大会堂会见芬兰总统尼尼斯托。	一月十五号，全国人大常委会委员长栗战书在人民大会堂会见芬兰总统尼尼斯托。
芬兰愿助力中国成功举办2022年冬奥会。陈竺参加会见。	芬兰愿助力中国成功举办二零二二年冬奥会。陈竺参加会见。
将分别于2019年3月5号和3月3号在北京开幕。	将分别于二零一九年三月五号和三月三号在北京开幕。
十三届全国人大二次会议，全国政协十三届二次会议将在北京市复兴路乙11号梅地亚中心设立新闻中心。	十三届全国人大二次会议，全国政协十三届二次会议将在北京市复兴路乙十一号梅地亚中心设立新闻中心。
新闻中心将于2月27号正式开展工作。	新闻中心将于二月二十七号正式开展工作。
记者报名截止日期为2月25号。	记者报名截止日期为二月二十五号。
国家统计局的数据显示，2018年农村居民收入增长快于城镇居民。	国家统计局的数据显示，二零一八年农村居民收入增长快于城镇居民。
铁路预计发送旅客1050万人次。	铁路预计发送旅客一千零五十万人次。
今天是春运的第12天，热点地区迎来了春运大客流。	今天是春运的第十二天，热点地区迎来了春运大客流。
"民航已执行航班近18,000班，创下历史新高。"	民航已执行航班近十万八千班，创下历史新高。
沈阳铁路184组高寒动车组全部上线投入运用。	沈阳铁路一百八十四组高寒动车组全部上线投入运用。
给71集团军某旅王杰班全体战士回信。	给七十一集团军某旅王杰班全体战士回信。
三亚等10个大型机场24小时开放。	三亚等十个大型机场二十四小时开放。
今年1月以来，各地扫黄打非办公室会同公安、网信文化执法等部门开展春节前文化市场环境专项整治。	今年一月以来，各地扫黄打非办公室会同公安、网信文化执法等部门开展春节前文化市场环境专项整治。
春节期间，各界群众若发现涉黄涉非违法行为，可通过全国扫黄打非办公室举报电话12390。	春节期间，各界群众若发现涉黄涉非违法行为，可通过全国扫黄打非办公室举报电话一二三九零。
同时今年春晚还将首次进行4k超高清直播。	同时今年春晚还将首次进行四k超高清直播。
应国务院新闻办公室和中国驻埃及大使馆邀请1月25号到31号埃及媒体代表团在新疆进行采访。	应国务院新闻办公室和中国驻埃及大使馆邀请一月二十五号到三十一号埃及媒体代表团在新疆进行采访。
国家移民管理局今天发布2019春节假期客流预测。	国家移民管理局今天发布两千零一十九春节假期客流预测。
全国口岸出入境日军人数将达到177万人次，较去年同期增长8.9%。	全国口岸出入境日军人数将达到一百七十七万人次，较去年同期增长百分之八点九。
穿山甲鳞片170，11袋共重8268公斤。目前该案正在进一步调查中。	穿山甲鳞片一百七十，十一袋共重八二六八公斤。目前该案正在进一步调查中。
但明天夜间起新一股冷空气又将开始影响中东部地区，届时华北东北等地将出现4~8摄氏度的降温。	但明天夜间起新一股冷空气又将开始影响中东部地区，届时华北东北等地将出现四~八摄氏度的降温。
法国、德国和英国1月31号发表联合声明。	法国、德国和英国一月三十一号发表联合声明。
2015年7月，伊朗与伊核问题六国达成伊朗核问题全面协议。	二零一五年七月，伊朗与伊核问题六国达成伊朗核问题全面协议。
1月31号，美国中西部有30多个地区的气温创历史新低。	一月三十一号，美国中西部有三十多个地区的气温创历史新低。
明尼苏达州卡顿市的最低气温降到了零下48摄氏度。	明尼苏达州卡顿市的最低气温降到了零下四十八摄氏度。
当地时间1月31号晚间的温度也就在零下30摄氏度左右。	当地时间一月三十一号晚间的温度也就在零下三十摄氏度左右。
黎巴嫩新一届内阁1月31号组建完成。	黎巴嫩新一届内阁一月三十一号组建完成。
少年法老图坦卡蒙生活在公元前14世纪，9岁登基，19岁去世。	少年法老图坦卡蒙生活在公元前十四世纪，九岁登基，十九岁去世。
曾于2017年11月在沙特访问期间突然宣布辞职。	曾于二零一七年十一月在沙特访问期间突然宣布辞职。
今天是2019年2月1号。	今天是二零一九年二月一号。
报道称，进入销售渠道的疑似问题，牛肉总计近10吨。	报道称，进入销售渠道的疑似问题，牛肉总计近十吨。
习近平2019年1月21号。	习近平二零一九年一月二十一号。
星期五农历12月27，欢迎收看新闻联播节目。	星期五农历十二月二十七，欢迎收看新闻联播节目。
李克强在贺信中表示，60多年来包括48家集团俱乐部在内的英国友好人士。	李克强在贺信中表示，六十多年来包括四十八家集团俱乐部在内的英国友好人士。
中国政府高度赞赏48家集团俱乐部为增进中英友好所做努力。	中国政府高度赞赏四十八家集团俱乐部为增进中英友好所做努力。
对2019年工作提出殷切希望。	对二零一九年工作提出殷切希望。
要以新中国成立70周年为契机。	要以新中国成立七十周年为契机。
随着春节临近，客流增幅将在20%左右。	随着春节临近，客流增幅将在百分之二十左右。
李克强向中英贸易破冰之旅65周年纪念活动致贺信。	李克强向中英贸易破冰之旅六十五周年纪念活动致贺信。
习近平将出席告台湾同胞书，发表40周年纪念会，并发表重要讲话。	习近平将出席告台湾同胞书，发表四十周年纪念会，并发表重要讲话。
习近平主席新年贺词中指出，2019年有机遇也有挑战，大家还要一起拼搏，一起奋斗。	习近平主席新年贺词中指出，二零一九年有机遇也有挑战，大家还要一起拼搏，一起奋斗。
习近平主席2019年新年贺词，在全国广大干部群众全军和武警部队官兵中引起强烈反响。	习近平主席二零一九年新年贺词，在全国广大干部群众全军和武警部队官兵中引起强烈反响。
开山岛上新选出10位驻岛民兵坚守开山岛。	开山岛上新选出十位驻岛民兵坚守开山岛。
习近平在贺信中指出，中美建交40年来，两国关系历经风雨，取得了历史性发展。	习近平在贺信中指出，中美建交四十年来，两国关系历经风雨，取得了历史性发展。
他土木当地时间1月1号清晨，中国第二批赴苏丹达尔富尔维和直升机分队官兵。	他土木当地时间一月一号清晨，中国第二批赴苏丹达尔富尔维和直升机分队官兵。
本台消息，1月1号国家主席习近平与美国总统特朗普互致贺信，热烈祝贺两国建交40周年。	本台消息，一月一号国家主席习近平与美国总统特朗普互致贺信，热烈祝贺两国建交四十周年。
征集时间将持续至2019年6月30号，优秀作品将在中央主要新闻媒体刊发并结集出版。	征集时间将持续至二零一九年六月三十号，优秀作品将在中央主要新闻媒体刊发并结集出版。
98.5%的群众可在同一场所一次性完成全部办证手续。	百分之九十八点五的群众可在同一场所一次性完成全部办证手续。
内地居民可在全国范围内异地申请换补发出入境证件等5项新举措推出以来。	内地居民可在全国范围内异地申请换补发出入境证件等五项新举措推出以来。
累计有1536万名群众享受异地换补发出入境证件7个工作日内办结证件的便利。	累计有一千五百三十六万名群众享受异地换补发出入境证件七个工作日内办结证件的便利。
昨天我国自主设计建设的政府1100千伏昌吉股权特高压直流输电工程双极全压正式启动送电。	昨天我国自主设计建设的政府一千一百千伏昌吉股权特高压直流输电工程双极全压正式启动送电。
工程于2016年1月开工建设。起于新疆昌吉止于安徽股权，全长3293公里。	工程于二零一六年一月开工建设。起于新疆昌吉止于安徽股权，全长三千二百九十三公里。
额定电压±1100千伏，输电容量1200万千瓦。	额定电压正负一千一百千伏，输电容量一千两百万千瓦。
2018年全国电影总票房为609.76亿元，比上年的559.1亿元，增长9.06%。	二零一八年全国电影总票房为六百零九点七六亿元，比上年的五百五十九点一亿元，增长百分之九点零六。
其中国产电影票房为378.97亿元，占票房总额的62.15%。	其中国产电影票房为三百七十八点九七亿元，占票房总额的百分之六十二点一五。
俄罗斯联邦安全局网站2018年12月31号发布消息说。	俄罗斯联邦安全局网站二零一八年十二月三十一号发布消息说。
该机构于当年12月28号在莫斯科抓获一名美国籍间谍嫌疑人保罗惠兰。	该机构于当年十二月二十八号在莫斯科抓获一名美国籍间谍嫌疑人保罗惠兰。
2018年11月，阿富汗总统加尼呼吁塔利班放弃暴力手段，尽快加入阿富汗和平进程。	二零一八年十一月，阿富汗总统加尼呼吁塔利班放弃暴力手段，尽快加入阿富汗和平进程。
走过改革开放40周年的2018，来到新中国成立70周年的2019。	走过改革开放四十周年的二零一八，来到新中国成立七十周年的二零一九。
特朗普在贺信中说，2019年1月1号是美利坚合众国和中华人民共和国建立外交关系40周年纪念日。	特朗普在贺信中说，二零一九年一月一号是美利坚合众国和中华人民共和国建立外交关系四十周年纪念日。
本台消息，1月1号，中共中央总书记国家主席习近平就古巴革命胜利60周年。	本台消息，一月一号，中共中央总书记国家主席习近平就古巴革命胜利六十周年。
今天是2019年1月1号星期二农历11月26。	今天是二零一九年一月一号星期二农历十一月二十六。
60年来，在古巴共产党坚强领导下，古巴政府和人民艰苦奋斗，在社会主义建设事业中取得伟大成就。	六十年来，在古巴共产党坚强领导下，古巴政府和人民艰苦奋斗，在社会主义建设事业中取得伟大成就。
本台消息告台湾同胞书发表40周年纪念会，将于1月2号上午10:00在人民大会堂举行。	本台消息告台湾同胞书发表四十周年纪念会，将于一月二号上午十点在人民大会堂举行。
手机客户端有学习、视频学习两大板块，38个频道。	手机客户端有学习、视频学习两大板块，三十八个频道。
平台PC端有学习新思想、学习文化、环球视野等17个板块，180多个一级栏目。	平台PC端有学习新思想、学习文化、环球视野等十七个板块，一百八十多个一级栏目。
学习强国学习平台上线仪式1月1号在京举行。	学习强国学习平台上线仪式一月一号在京举行。
昨天国家主席习近平发表了2019年新年贺词。	昨天国家主席习近平发表了二零一九年新年贺词。
站在纪念改革开放40周年与迎接新中国华诞70周年的交汇点。	站在纪念改革开放四十周年与迎接新中国华诞七十周年的交汇点。
中美两国领导人互致贺信，庆祝两国建交40周年。	中美两国领导人互致贺信，庆祝两国建交四十周年。
在2019年新年贺词中，习主席叮嘱奋战在脱贫一线的同志们一定要保重身体。	在二零一九年新年贺词中，习主席叮嘱奋战在脱贫一线的同志们一定要保重身体。
习近平就古巴革命胜利60周年向古巴领导人致贺电。	习近平就古巴革命胜利六十周年向古巴领导人致贺电。
今天是4月1号星期一，农历2月26，欢迎收看新闻联播节目。	今天是四月一号星期一，农历二月二十六，欢迎收看新闻联播节目。
在会见香港澳门各界庆祝国家改革开放40周年访问团时发表的重要讲话精神。	在会见香港澳门各界庆祝国家改革开放四十周年访问团时发表的重要讲话精神。
蒙方认同人类命运共同体理念，愿同中方以建交70周年为契机，推动两国关系不断迈向更高水平。	蒙方认同人类命运共同体理念，愿同中方以建交七十周年为契机，推动两国关系不断迈向更高水平。
今天是第28个全国税收宣传月的首日，今年的主题是落实减税降费，促进经济高质量发展。	今天是第二十八个全国税收宣传月的首日，今年的主题是落实减税降费，促进经济高质量发展。
保持6%一档税率不变。	保持百分之六一档税率不变。
将适用16%税率的项目改按13%税率征税，将适用10%税率的项目改按9%税率征税。	将适用百分之十六税率的项目改按百分之十三税率征税，将适用百分之十税率的项目改按百分之九税率征税。
以去年的销售收入计算应该是在减免700万左右。	以去年的销售收入计算应该是在减免七百万左右。
据介绍，三部门已在4个月内完成了芬太尼类物质整类列管的法定程序。	据介绍，三部门已在四个月内完成了芬太尼类物质整类列管的法定程序。
卫星成功进入地球同步轨道。天恋2号01星是我国第二代数据中继卫星系统的第一颗卫星。	卫星成功进入地球同步轨道。天恋二号零一星是我国第二代数据中继卫星系统的第一颗卫星。
目前我国列管的芬太尼类物质品种达到25种，超过联合国规定管制的21种。	目前我国列管的芬太尼类物质品种达到二十五种，超过联合国规定管制的二十一种。
3月30号18时许，四川省凉山州木里县境内发生森林火灾，当地地形复杂，坡陡、谷深，交通通讯不便。	三月三十号十八时许，四川省凉山州木里县境内发生森林火灾，当地地形复杂，坡陡、谷深，交通通讯不便。
救治器官衰竭患者6.5万余名，我国每百万人口年捐献率已从2010年的0.03达到目前的4.53。	救治器官衰竭患者六点五万余名，我国每百万人口年捐献率已从二零一零年的零点零三达到目前的四点五三。
来自21个阿盟成员国的国家元首，政府首脑或代表出席此次为期一天的会议。	来自二十一个阿盟成员国的国家元首，政府首脑或代表出席此次为期一天的会议。
阿盟原本有22个成员国，2011年叙利亚危机爆发后，阿盟中止叙利亚的成员国资格。	阿盟原本有二十二个成员国，二零一一年叙利亚危机爆发后，阿盟中止叙利亚的成员国资格。
建交47年来，中兴关系一直走在中国同西方发达国家关系前列，创造了多项第一。	建交四十七年来，中兴关系一直走在中国同西方发达国家关系前列，创造了多项第一。
4月1号第6批在韩中国人民志愿军烈士遗骸及遗物在韩国仁川举行庄严仪式。	四月一号第六批在韩中国人民志愿军烈士遗骸及遗物在韩国仁川举行庄严仪式。
根据安排，4月3号这一批志愿军烈士遗骸将由中国空军专机接运回国。	根据安排，四月三号这一批志愿军烈士遗骸将由中国空军专机接运回国。
第30届阿拉伯国家联盟首脑会议3月31号在突尼斯举行，会议发表声明，坚决反对美国承认戈兰高地。	第三十届阿拉伯国家联盟首脑会议三月三十一号在突尼斯举行，会议发表声明，坚决反对美国承认戈兰高地。
根据俄罗斯外交部3月31号发布的最新消息。	根据俄罗斯外交部三月三十一号发布的最新消息。
这个项目建成后，将给当地提供1200个就业岗位。	这个项目建成后，将给当地提供一千两百个就业岗位。
3月31号举行的总统选举投票的计票已经过半。	三月三十一号举行的总统选举投票的计票已经过半。
3月23号，俄军两架军机运送了一批军人和35吨货物抵达委内瑞拉。	三月二十三号，俄军两架军机运送了一批军人和三十五吨货物抵达委内瑞拉。
要筑牢中心关系的社会基础，进一步加强两国教育、文化、科技等领域交流合作，办好2019中心旅游年。	要筑牢中心关系的社会基础，进一步加强两国教育、文化、科技等领域交流合作，办好二零一九中心旅游年。
5年多来，中国同各国秉持共商、共建、共享理念，探索合作思路，创新合作模式。	五年多来，中国同各国秉持共商、共建、共享理念，探索合作思路，创新合作模式。
70年来中国共产党领导中国人民持续奋斗，各方面都取得了巨大成就。	七十年来中国共产党领导中国人民持续奋斗，各方面都取得了巨大成就。
习近平强调，今年是中华人民共和国成立70周年，坚持中国共产党领导是中国人民的历史选择。	习近平强调，今年是中华人民共和国成立七十周年，坚持中国共产党领导是中国人民的历史选择。
同时我们坚持不断完善自己的发展道路，并正为实现两个100年奋斗目标而不懈努力。	同时我们坚持不断完善自己的发展道路，并正为实现两个一百年奋斗目标而不懈努力。
墨西哥前总统赛迪略表元老会代表团先后发言。他们首先祝贺中华人民共和国成立70周年。	墨西哥前总统赛迪略表元老会代表团先后发言。他们首先祝贺中华人民共和国成立七十周年。
杨洁篪、王毅等参加会见。元老会由南非前总统曼德拉倡议于2007年7月成立。	杨洁篪、王毅等参加会见。元老会由南非前总统曼德拉倡议于二零零七年七月成立。
本台消息，2019中国太平洋岛国旅游年4月1日在萨摩亚首都阿皮亚开幕。	本台消息，二零一九中国太平洋岛国旅游年四月一日在萨摩亚首都阿皮亚开幕。
习近平强调，举办2019中国太平洋岛国旅游年，是我和太平洋岛国领导人。	习近平强调，举办二零一九中国太平洋岛国旅游年，是我和太平洋岛国领导人。
哈利马表示祝贺。中华人民共和国成立70周年，中方倡议举办亚洲文明对话大会适逢其时。	哈利马表示祝贺。中华人民共和国成立七十周年，中方倡议举办亚洲文明对话大会适逢其时。
本台消息5月15号上午，亚洲文明对话大会将在北京国家会议中心隆重开幕。	本台消息五月十五号上午，亚洲文明对话大会将在北京国家会议中心隆重开幕。
5月13号，全国人大常委会委员长栗战书在人民大会堂会见希腊总统帕夫洛普洛斯。	五月十三号，全国人大常委会委员长栗战书在人民大会堂会见希腊总统帕夫洛普洛斯。
希腊总统帕夫洛普洛斯13号下午前往北京天安门广场，向人民英雄纪念碑敬献花圈。	希腊总统帕夫洛普洛斯十三号下午前往北京天安门广场，向人民英雄纪念碑敬献花圈。
另外还有100多位委员通过移动履职平台和参加分组讨论提出的意见建议。	另外还有一百多位委员通过移动履职平台和参加分组讨论提出的意见建议。
本次专题协商会有257位全国政协委员参加，79位院士委员分别做了大会发言和分组发言。	本次专题协商会有两百五十七位全国政协委员参加，七十九位院士委员分别做了大会发言和分组发言。
将于5月19号至24号对中国进行正式访问。	将于五月十九号至二十四号对中国进行正式访问。
